order_id,customer_id,product_id,quantity,order_date,name,age,country,gender,product_name,category,price,cost,month
1,379,22,9,2023-08-22,Customer_379,30,Saudi Arabia,Male,Product_22,Clothing,65.17,63.7,8
2,203,63,5,2023-12-03,Customer_203,40,Saudi Arabia,Female,Product_63,Clothing,311.95,65.4,12
3,218,30,9,2023-06-14,Customer_218,53,Saudi Arabia,Female,Product_30,Beauty,280.01,298.89,6
4,447,82,2,2024-08-17,Customer_447,34,Qatar,Male,Product_82,Beauty,39.93,307.25,8
5,497,16,4,2024-11-06,Customer_497,24,Kuwait,Female,Product_16,Clothing,102.81,185.46,11
6,378,74,2,2023-12-02,Customer_378,34,UAE,Male,Product_74,Home,461.89,134.75,12
7,227,70,8,2023-01-08,Customer_227,44,Qatar,Female,Product_70,Toys,87.93,339.69,1
8,148,10,5,2023-08-07,Customer_148,21,Saudi Arabia,Male,Product_10,Clothing,414.83,68.27,8
9,228,89,9,2024-12-22,Customer_228,42,Kuwait,Female,Product_89,Clothing,67.18,205.02,12
10,159,97,9,2023-05-08,Customer_159,27,Kuwait,Female,Product_97,Beauty,70.74,176.02,5
11,66,51,7,2024-07-15,Customer_66,50,Kuwait,Female,Product_51,Beauty,221.69,269.12,7
12,242,28,8,2023-10-13,Customer_242,30,Kuwait,Male,Product_28,Home,107.76,58.66,10
13,166,8,5,2023-08-15,Customer_166,19,Saudi Arabia,Male,Product_8,Electronics,269.68,57.24,8
14,42,51,7,2024-03-26,Customer_42,38,Egypt,Male,Product_51,Beauty,221.69,269.12,3
15,253,28,9,2024-08-18,Customer_253,19,Kuwait,Male,Product_28,Home,107.76,58.66,8
16,457,33,7,2023-05-28,Customer_457,31,UAE,Female,Product_33,Home,95.43,258.84,5
17,270,2,1,2023-06-14,Customer_270,55,Kuwait,Female,Product_2,Electronics,385.43,21.99,6
18,353,1,4,2023-12-03,Customer_353,29,Kuwait,Male,Product_1,Toys,59.94,46.05,12
19,157,51,6,2024-09-18,Customer_157,55,Saudi Arabia,Female,Product_51,Beauty,221.69,269.12,9
20,331,2,3,2024-07-23,Customer_331,57,UAE,Female,Product_2,Electronics,385.43,21.99,7
21,76,47,4,2024-11-02,Customer_76,33,Qatar,Female,Product_47,Home,374.67,381.1,11
22,365,40,9,2024-03-06,Customer_365,21,UAE,Female,Product_40,Toys,315.43,258.14,3
23,87,17,8,2023-02-21,Customer_87,21,UAE,Female,Product_17,Home,45.2,77.51,2
24,260,1,4,2023-11-24,Customer_260,23,Saudi Arabia,Female,Product_1,Toys,59.94,46.05,11
25,193,90,6,2023-01-06,Customer_193,25,Qatar,Male,Product_90,Clothing,148.06,368.48,1
26,281,5,2,2024-10-29,Customer_281,55,Kuwait,Female,Product_5,Home,312.44,170.43,10
27,346,29,6,2024-01-27,Customer_346,33,UAE,Male,Product_29,Toys,244.96,349.06,1
28,56,57,7,2024-01-19,Customer_56,51,UAE,Male,Product_57,Toys,429.19,398.05,1
29,10,16,9,2023-06-17,Customer_10,59,Kuwait,Male,Product_16,Clothing,102.81,185.46,6
30,150,40,7,2023-12-22,Customer_150,19,Qatar,Female,Product_40,Toys,315.43,258.14,12
31,348,63,8,2024-05-04,Customer_348,22,Egypt,Male,Product_63,Clothing,311.95,65.4,5
32,71,93,1,2023-10-20,Customer_71,52,Egypt,Female,Product_93,Clothing,239.38,69.8,10
33,27,83,9,2023-07-02,Customer_27,42,Egypt,Female,Product_83,Clothing,337.21,338.11,7
34,498,35,1,2023-06-09,Customer_498,55,Saudi Arabia,Male,Product_35,Electronics,299.51,285.89,6
35,265,3,3,2024-10-02,Customer_265,22,UAE,Female,Product_3,Electronics,274.96,132.4,10
36,217,50,7,2023-05-13,Customer_217,42,Kuwait,Male,Product_50,Toys,315.37,252.15,5
37,410,23,2,2023-06-14,Customer_410,46,Saudi Arabia,Female,Product_23,Electronics,407.77,359.88,6
38,289,55,6,2023-06-13,Customer_289,18,UAE,Male,Product_55,Clothing,175.47,286.16,6
39,493,51,1,2024-10-20,Customer_493,55,Egypt,Male,Product_51,Beauty,221.69,269.12,10
40,146,65,1,2024-09-21,Customer_146,18,UAE,Male,Product_65,Home,355.4,7.71,9
41,1,43,8,2024-10-07,Customer_1,28,Egypt,Female,Product_43,Home,381.34,72.85,10
42,453,20,1,2023-01-25,Customer_453,51,UAE,Male,Product_20,Clothing,184.22,56.6,1
43,420,61,7,2024-09-02,Customer_420,24,Egypt,Male,Product_61,Beauty,81.52,131.11,9
44,172,72,6,2024-07-10,Customer_172,39,Saudi Arabia,Female,Product_72,Electronics,319.3,367.08,7
45,37,92,7,2023-10-23,Customer_37,49,Qatar,Male,Product_92,Electronics,361.74,148.05,10
46,410,77,7,2024-08-17,Customer_410,46,Saudi Arabia,Female,Product_77,Home,357.39,36.75,8
47,273,33,5,2023-07-27,Customer_273,34,Saudi Arabia,Female,Product_33,Home,95.43,258.84,7
48,50,75,1,2023-03-28,Customer_50,57,UAE,Female,Product_75,Electronics,145.63,13.16,3
49,101,73,2,2023-02-07,Customer_101,47,Kuwait,Male,Product_73,Clothing,87.93,131.02,2
50,165,45,6,2023-08-09,Customer_165,20,Kuwait,Male,Product_45,Electronics,87.89,130.75,8
51,336,27,1,2023-04-03,Customer_336,30,Egypt,Female,Product_27,Home,339.0,342.47,4
52,484,11,8,2023-07-08,Customer_484,57,Kuwait,Male,Product_11,Home,45.51,287.13,7
53,412,61,8,2023-03-19,Customer_412,49,Egypt,Female,Product_61,Beauty,81.52,131.11,3
54,354,29,6,2024-11-26,Customer_354,59,UAE,Female,Product_29,Toys,244.96,349.06,11
55,132,50,2,2023-04-17,Customer_132,21,Egypt,Female,Product_50,Toys,315.37,252.15,4
56,252,63,5,2023-10-16,Customer_252,38,Saudi Arabia,Male,Product_63,Clothing,311.95,65.4,10
57,98,45,7,2023-05-11,Customer_98,28,Egypt,Female,Product_45,Electronics,87.89,130.75,5
58,80,96,2,2023-06-01,Customer_80,39,Qatar,Female,Product_96,Beauty,278.58,4.37,6
59,221,46,4,2024-04-23,Customer_221,33,Egypt,Male,Product_46,Home,260.38,211.66,4
60,311,85,4,2023-07-15,Customer_311,44,Egypt,Male,Product_85,Beauty,414.85,139.99,7
61,287,38,3,2023-08-28,Customer_287,50,Egypt,Female,Product_38,Electronics,462.23,66.09,8
62,139,89,6,2024-02-12,Customer_139,40,Kuwait,Female,Product_89,Clothing,67.18,205.02,2
63,424,54,6,2023-05-03,Customer_424,35,Egypt,Female,Product_54,Beauty,321.44,214.75,5
64,21,58,5,2023-12-04,Customer_21,32,Qatar,Female,Product_58,Electronics,451.24,265.03,12
65,253,83,6,2024-06-25,Customer_253,19,Kuwait,Male,Product_83,Clothing,337.21,338.11,6
66,496,35,2,2024-10-02,Customer_496,26,Egypt,Female,Product_35,Electronics,299.51,285.89,10
67,445,77,6,2023-05-10,Customer_445,30,Qatar,Male,Product_77,Home,357.39,36.75,5
68,432,34,3,2024-03-06,Customer_432,32,UAE,Male,Product_34,Clothing,118.56,369.36,3
69,212,12,2,2024-09-13,Customer_212,24,Qatar,Male,Product_12,Toys,159.53,7.14,9
70,81,8,4,2023-06-04,Customer_81,57,Saudi Arabia,Female,Product_8,Electronics,269.68,57.24,6
71,187,93,1,2024-05-25,Customer_187,44,UAE,Male,Product_93,Clothing,239.38,69.8,5
72,484,92,9,2023-02-13,Customer_484,57,Kuwait,Male,Product_92,Electronics,361.74,148.05,2
73,271,6,2,2024-03-03,Customer_271,44,Qatar,Male,Product_6,Electronics,164.89,345.75,3
74,370,76,7,2024-02-15,Customer_370,22,Qatar,Female,Product_76,Home,318.37,173.4,2
75,368,26,3,2024-12-29,Customer_368,47,Saudi Arabia,Male,Product_26,Beauty,51.73,366.32,12
76,421,49,7,2024-07-12,Customer_421,43,Kuwait,Male,Product_49,Beauty,107.42,54.44,7
77,437,60,9,2024-08-05,Customer_437,22,UAE,Male,Product_60,Home,404.11,170.36,8
78,289,43,1,2024-07-03,Customer_289,18,UAE,Male,Product_43,Home,381.34,72.85,7
79,204,73,5,2023-01-07,Customer_204,23,UAE,Female,Product_73,Clothing,87.93,131.02,1
80,40,4,6,2023-10-11,Customer_40,34,Kuwait,Male,Product_4,Beauty,238.96,44.13,10
81,446,46,6,2024-12-31,Customer_446,35,Saudi Arabia,Male,Product_46,Home,260.38,211.66,12
82,351,26,4,2023-10-19,Customer_351,32,Egypt,Female,Product_26,Beauty,51.73,366.32,10
83,269,99,9,2024-07-05,Customer_269,45,Saudi Arabia,Male,Product_99,Electronics,409.52,180.13,7
84,99,82,1,2023-03-22,Customer_99,23,Qatar,Female,Product_82,Beauty,39.93,307.25,3
85,434,5,9,2023-02-13,Customer_434,47,Kuwait,Female,Product_5,Home,312.44,170.43,2
86,479,69,5,2023-09-04,Customer_479,49,Saudi Arabia,Female,Product_69,Toys,208.09,37.41,9
87,180,16,1,2024-06-02,Customer_180,49,Kuwait,Female,Product_16,Clothing,102.81,185.46,6
88,75,88,9,2024-10-07,Customer_75,58,Qatar,Female,Product_88,Beauty,224.58,271.82,10
89,95,47,7,2023-04-24,Customer_95,30,Saudi Arabia,Female,Product_47,Home,374.67,381.1,4
90,135,67,5,2023-05-22,Customer_135,37,Kuwait,Female,Product_67,Toys,135.82,291.51,5
91,386,40,7,2023-09-24,Customer_386,30,Kuwait,Female,Product_40,Toys,315.43,258.14,9
92,275,30,7,2023-10-28,Customer_275,42,Saudi Arabia,Female,Product_30,Beauty,280.01,298.89,10
93,428,81,2,2023-10-06,Customer_428,52,Egypt,Female,Product_81,Toys,273.89,275.85,10
94,199,69,2,2024-10-24,Customer_199,29,Egypt,Male,Product_69,Toys,208.09,37.41,10
95,353,50,8,2024-11-15,Customer_353,29,Kuwait,Male,Product_50,Toys,315.37,252.15,11
96,310,3,9,2023-09-13,Customer_310,53,Kuwait,Male,Product_3,Electronics,274.96,132.4,9
97,369,32,4,2023-12-08,Customer_369,59,UAE,Female,Product_32,Electronics,110.16,171.36,12
98,227,94,2,2023-11-20,Customer_227,44,Qatar,Female,Product_94,Home,135.9,308.65,11
99,414,100,7,2024-05-02,Customer_414,51,UAE,Male,Product_100,Home,423.31,166.36,5
100,359,18,8,2024-02-27,Customer_359,57,Egypt,Female,Product_18,Electronics,118.35,312.1,2
101,299,75,4,2023-02-15,Customer_299,57,Kuwait,Male,Product_75,Electronics,145.63,13.16,2
102,215,61,8,2023-02-27,Customer_215,19,Qatar,Male,Product_61,Beauty,81.52,131.11,2
103,416,19,3,2024-03-01,Customer_416,33,Saudi Arabia,Female,Product_19,Home,302.0,123.92,3
104,432,63,8,2023-07-07,Customer_432,32,UAE,Male,Product_63,Clothing,311.95,65.4,7
105,207,99,3,2024-07-20,Customer_207,33,Egypt,Female,Product_99,Electronics,409.52,180.13,7
106,395,31,7,2024-07-24,Customer_395,50,Kuwait,Female,Product_31,Electronics,190.48,21.14,7
107,497,23,6,2024-07-17,Customer_497,24,Kuwait,Female,Product_23,Electronics,407.77,359.88,7
108,439,68,3,2024-02-04,Customer_439,29,Egypt,Male,Product_68,Beauty,67.01,392.23,2
109,424,7,3,2024-09-14,Customer_424,35,Egypt,Female,Product_7,Electronics,266.85,117.02,9
110,189,48,6,2023-07-12,Customer_189,51,Egypt,Male,Product_48,Clothing,365.44,155.7,7
111,315,36,1,2024-03-25,Customer_315,43,Qatar,Female,Product_36,Home,339.29,91.02,3
112,78,4,2,2023-05-15,Customer_78,59,Egypt,Male,Product_4,Beauty,238.96,44.13,5
113,175,11,9,2024-04-11,Customer_175,44,UAE,Male,Product_11,Home,45.51,287.13,4
114,167,24,6,2023-02-28,Customer_167,21,Saudi Arabia,Female,Product_24,Beauty,77.24,251.59,2
115,121,56,3,2023-12-03,Customer_121,57,UAE,Male,Product_56,Clothing,169.13,5.44,12
116,63,96,4,2024-04-30,Customer_63,56,Egypt,Female,Product_96,Beauty,278.58,4.37,4
117,138,80,4,2024-07-29,Customer_138,56,UAE,Female,Product_80,Toys,141.57,180.05,7
118,254,4,1,2024-11-07,Customer_254,23,Kuwait,Male,Product_4,Beauty,238.96,44.13,11
